Datum [Europe/Berlin];Meteocontrol_PV_Leistung 50hertz;Meteocontrol_PV_Leistung Amprion;Meteocontrol_PV_Leistung TransnetBW;Meteocontrol_PV_Leistung TenneT;Meteocontrol_PV_Leistung APG;Meteocontrol_PV_Leistung Gesamt
08.02.2022 00:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 00:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 00:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 00:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 08:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 08:15;0,0;0,0;0,0;0,0;0,0;0,1
08.02.2022 08:30;0,1;0,1;0,1;0,3;0,0;0,5
08.02.2022 08:45;0,5;0,3;0,2;1,3;0,0;2,3
08.02.2022 09:00;2,6;0,9;0,5;4,1;0,0;8,1
08.02.2022 09:15;7,2;3,1;1,4;9,8;0,0;21,5
08.02.2022 09:30;16,3;4,9;2,1;16,3;0,0;39,6
08.02.2022 09:45;27,2;7,6;2,8;22,1;0,0;59,8
08.02.2022 10:00;40,5;11,1;4,1;28,3;0,0;84,0
08.02.2022 10:15;54,4;14,7;5,5;32,9;0,0;107,5
08.02.2022 10:30;69,9;17,6;6,7;39,2;0,0;133,4
08.02.2022 10:45;79,3;20,0;7,9;48,2;0,0;155,4
08.02.2022 11:00;91,4;21,7;9,2;54,9;0,0;177,2
08.02.2022 11:15;102,6;23,7;10,5;60,3;0,0;197,1
08.02.2022 11:30;109,8;25,8;11,4;66,6;0,0;213,6
08.02.2022 11:45;115,3;27,8;12,2;72,0;0,0;227,4
08.02.2022 12:00;121,4;29,8;13,2;78,3;0,0;242,7
08.02.2022 12:15;130,0;31,8;14,0;82,9;0,0;258,7
08.02.2022 12:30;132,5;33,7;14,5;90,5;0,0;271,2
08.02.2022 12:45;132,7;35,1;15,0;95,1;0,0;278,0
08.02.2022 13:00;118,9;35,7;15,5;101,1;0,0;271,2
08.02.2022 13:15;109,0;36,0;15,7;102,2;0,0;262,8
08.02.2022 13:30;98,4;35,7;15,8;108,5;0,0;258,4
08.02.2022 13:45;84,2;35,2;16,1;110,0;0,0;245,5
08.02.2022 14:00;75,2;33,9;16,2;104,3;0,0;229,5
08.02.2022 14:15;62,8;32,2;16,0;100,4;0,0;211,4
08.02.2022 14:30;50,1;29,5;15,3;97,6;0,0;192,5
08.02.2022 14:45;42,8;28,1;14,7;91,9;0,0;177,5
08.02.2022 15:00;36,6;25,5;13,9;83,3;0,0;159,3
08.02.2022 15:15;29,4;22,3;12,7;72,5;0,0;136,8
08.02.2022 15:30;20,9;19,5;11,4;58,2;0,0;109,9
08.02.2022 15:45;13,8;16,6;9,9;45,9;0,0;86,3
08.02.2022 16:00;8,7;13,5;8,1;31,5;0,0;61,7
08.02.2022 16:15;4,0;9,7;5,8;17,1;0,0;36,7
08.02.2022 16:30;1,3;5,7;3,3;5,6;0,0;15,8
08.02.2022 16:45;0,4;2,5;1,7;2,1;0,0;6,7
08.02.2022 17:00;0,1;0,6;0,6;0,3;0,0;1,6
08.02.2022 17:15;0,0;0,0;0,0;0,0;0,0;0,1
08.02.2022 17:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 17:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:45;0,0;0,0;0,0;0,0;0,0;0,0
