Datum [Europe/Berlin];Meteocontrol_PV_Leistung 50hertz extern;Meteocontrol_PV_Leistung Amprion extern;Meteocontrol_PV_Leistung TransnetBW extern;Meteocontrol_PV_Leistung TenneT extern;Meteocontrol_PV_Leistung APG extern;Meteocontrol_PV_Leistung Gesamt extern
08.02.2022 00:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 00:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 00:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 00:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 01:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 02:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 03:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 04:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 05:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 06:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 07:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 08:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 08:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 08:30;0,0;0,1;0,1;0,3;0,0;0,4
08.02.2022 08:45;0,1;0,3;0,2;1,1;0,0;1,7
08.02.2022 09:00;0,7;0,8;0,5;2,9;0,0;5,0
08.02.2022 09:15;2,0;2,6;1,4;6,8;0,0;12,8
08.02.2022 09:30;3,9;4,2;2,1;10,8;0,0;21,0
08.02.2022 09:45;7,9;6,9;2,8;13,9;0,0;31,5
08.02.2022 10:00;13,0;10,1;4,1;17,4;0,0;44,6
08.02.2022 10:15;18,3;13,4;5,5;20,7;0,0;58,0
08.02.2022 10:30;24,2;16,0;6,7;24,1;0,0;71,1
08.02.2022 10:45;28,7;18,2;7,9;28,3;0,0;83,1
08.02.2022 11:00;33,1;19,8;9,2;33,3;0,0;95,3
08.02.2022 11:15;36,5;21,7;10,5;36,5;0,0;105,2
08.02.2022 11:30;39,2;23,7;11,4;40,4;0,0;114,8
08.02.2022 11:45;41,7;25,7;12,2;43,5;0,0;123,1
08.02.2022 12:00;43,1;27,4;13,2;47,6;0,0;131,2
08.02.2022 12:15;45,4;29,2;14,0;51,2;0,0;139,7
08.02.2022 12:30;48,8;30,9;14,5;55,3;0,0;149,4
08.02.2022 12:45;49,7;32,2;15,0;56,9;0,0;153,7
08.02.2022 13:00;43,0;32,7;15,5;60,5;0,0;151,8
08.02.2022 13:15;38,7;33,1;15,7;60,0;0,0;147,5
08.02.2022 13:30;36,7;32,9;15,8;63,8;0,0;149,2
08.02.2022 13:45;31,6;32,5;16,1;65,7;0,0;145,9
08.02.2022 14:00;27,8;31,3;16,2;62,7;0,0;137,9
08.02.2022 14:15;23,1;29,7;16,0;60,8;0,0;129,6
08.02.2022 14:30;18,5;27,4;15,3;59,5;0,0;120,7
08.02.2022 14:45;14,3;26,3;14,7;55,0;0,0;110,3
08.02.2022 15:00;11,9;23,8;13,9;49,6;0,0;99,2
08.02.2022 15:15;9,1;21,0;12,7;43,4;0,0;86,1
08.02.2022 15:30;6,9;18,3;11,4;36,8;0,0;73,4
08.02.2022 15:45;4,6;15,6;9,9;29,7;0,0;59,9
08.02.2022 16:00;2,8;12,6;8,1;22,3;0,0;45,7
08.02.2022 16:15;1,3;9,0;5,8;12,7;0,0;28,8
08.02.2022 16:30;0,4;5,2;3,3;4,1;0,0;13,0
08.02.2022 16:45;0,1;2,1;1,7;1,4;0,0;5,4
08.02.2022 17:00;0,0;0,6;0,6;0,3;0,0;1,5
08.02.2022 17:15;0,0;0,0;0,0;0,0;0,0;0,1
08.02.2022 17:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 17:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 18:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 19:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 20:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 21:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 22:45;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:00;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:15;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:30;0,0;0,0;0,0;0,0;0,0;0,0
08.02.2022 23:45;0,0;0,0;0,0;0,0;0,0;0,0
